houseid,property_type,beds,baths,sqft,lot_size,year_built,zipcode,latitude,longitude,list_price
3495,Single Family Residential,4.0,3.0,2787.0,42222.0,2001.0,77065,29.9469589,-95.5897736,549995
3497,Single Family Residential,3.0,2.0,1504.0,6900.0,1978.0,77041,29.8834192,-95.6173145,245000
3498,Single Family Residential,3.0,2.0,1701.0,9100.0,1952.0,77055,29.796258,-95.4990289,535000
3500,Single Family Residential,5.0,3.5,3380.0,6160.0,2006.0,77429,29.9826746,-95.7203982,396703
3502,Single Family Residential,3.0,2.5,1727.0,8050.0,1978.0,77089,29.5903876,-95.2388423,269900
3503,Single Family Residential,4.0,2.5,2308.0,6507.0,2019.0,77406,29.6969496,-95.8008195,410000
3504,Single Family Residential,4.0,2.0,1400.0,6986.0,1955.0,77051,29.654291,-95.3653168,195000
3505,Single Family Residential,3.0,1.0,1145.0,8232.0,1950.0,77017,29.6929118,-95.2516548,215000
3506,Single Family Residential,3.0,2.5,1913.0,2500.0,2022.0,77020,29.7696322,-95.3295234,439900
3507,Single Family Residential,5.0,3.5,4205.0,9152.0,2006.0,77089,29.5716757,-95.2184913,540000
3512,Single Family Residential,4.0,2.5,2542.0,5500.0,1996.0,77095,29.9027131,-95.6234773,319900
3513,Single Family Residential,5.0,3.5,4804.0,9733.0,2005.0,77407,29.6944756,-95.7709522,549900
3514,Single Family Residential,3.0,2.0,2069.0,9506.0,1956.0,77035,29.6709197,-95.4595626,375000
3516,Single Family Residential,4.0,1.0,1358.0,6180.0,1960.0,77016,29.8851693,-95.2943566,174990
3517,Single Family Residential,4.0,2.0,2278.0,8435.0,1986.0,77546,29.5314654,-95.1627317,340000
3518,Single Family Residential,4.0,3.0,1639.0,7020.0,1965.0,77050,29.9033487,-95.2972986,329000
3521,Single Family Residential,3.0,2.0,1063.0,6111.0,1950.0,77015,29.7753096,-95.1718623,174900
3526,Single Family Residential,5.0,4.0,2228.0,7500.0,1940.0,77093,29.8729841,-95.3261197,224900
3530,Single Family Residential,3.0,3.5,2219.0,1518.0,2020.0,77018,29.8232327,-95.4150333,469000
3531,Single Family Residential,4.0,5.5,4195.0,8925.0,2008.0,77005,29.7183131,-95.4414694,1895000
3537,Single Family Residential,3.0,3.5,2707.0,1938.0,2014.0,77007,29.7803175,-95.4212221,570000
3538,Single Family Residential,3.0,2.5,2444.0,5380.0,2002.0,77084,29.8663002,-95.6564146,350000
3539,Single Family Residential,3.0,2.5,1634.0,3675.0,2005.0,77064,29.9306803,-95.5637994,259900
3544,Single Family Residential,4.0,3.5,3928.0,6825.0,2022.0,77055,29.7958865,-95.4669074,1600000
3547,Single Family Residential,4.0,2.5,2279.0,6445.0,2002.0,77375,30.0437381,-95.6036849,325000
3548,Single Family Residential,3.0,3.5,1730.0,2250.0,2022.0,77004,29.7355961,-95.3631035,434900
3550,Single Family Residential,4.0,3.0,1886.0,7150.0,1956.0,77080,29.8098145,-95.5300082,360000
3551,Single Family Residential,4.0,2.0,2365.0,7569.0,1953.0,77018,29.8314545,-95.4505694,499000
3555,Single Family Residential,4.0,4.5,4139.0,6000.0,2023.0,77009,29.7883975,-95.3867365,1929000
3557,Single Family Residential,4.0,2.0,1968.0,6430.0,1978.0,77035,29.6537344,-95.5034893,252000
3560,Single Family Residential,4.0,2.5,3101.0,12531.0,1968.0,77042,29.7580494,-95.555623,825000
3562,Single Family Residential,4.0,1.0,1339.0,5802.0,1955.0,77033,29.6832651,-95.3351031,160000
3565,Single Family Residential,3.0,2.5,1993.0,4192.0,2006.0,77047,29.6192469,-95.3823199,259900
3568,Single Family Residential,3.0,3.5,2702.0,1450.0,2022.0,77007,29.7663141,-95.3914435,869000
3570,Single Family Residential,4.0,2.0,2050.0,10980.0,1962.0,77043,29.8060855,-95.5497082,455000
3572,Single Family Residential,4.0,3.5,3485.0,2500.0,2022.0,77007,29.7692378,-95.4058278,1049000
3573,Single Family Residential,4.0,2.0,1575.0,7594.0,2005.0,77086,29.9347051,-95.519391,244470
3574,Single Family Residential,4.0,3.0,2555.0,6837.0,2007.0,77406,29.6716982,-95.7555949,385000
3575,Single Family Residential,4.0,5.0,5123.0,13500.0,2011.0,77056,29.7569188,-95.4677467,2695000
3576,Single Family Residential,4.0,2.0,2014.0,6700.0,1942.0,77022,29.8304687,-95.3732425,300000
3577,Single Family Residential,3.0,3.0,2194.0,7920.0,1955.0,77004,29.7170597,-95.3463589,449000
3579,Single Family Residential,6.0,4.5,4971.0,7000.0,1908.0,77006,29.7491456,-95.3972214,845000
3580,Single Family Residential,3.0,1.0,1283.0,7500.0,1948.0,77022,29.8256292,-95.393347,269900
